date,BET
03/11/2017,7771.63
10/11/2017,7772.14
17/11/2017,7782.8
24/11/2017,7796.21
01/12/2017,7693.55
08/12/2017,7603.31
15/12/2017,7796.52
22/12/2017,7753.74
29/12/2017,7985.82
05/01/2018,8269.05
12/01/2018,8361.95
19/01/2018,8434.44
26/01/2018,8243.25
02/02/2018,8002.55
09/02/2018,8328.5
16/02/2018,8356.13
23/02/2018,8352.22
02/03/2018,8477.18
09/03/2018,8816.96
16/03/2018,8660.99
23/03/2018,8714.17
30/03/2018,8861.11
06/04/2018,8871.04
13/04/2018,8920.49
20/04/2018,8780.22
27/04/2018,8788.32
04/05/2018,8775.91
11/05/2018,8409.7
18/05/2018,8263.1
25/05/2018,8080.1
01/06/2018,8253.12
08/06/2018,8201.28
15/06/2018,8108.84
22/06/2018,8087.01
29/06/2018,7835.34
06/07/2018,7933.45
13/07/2018,7898.09
20/07/2018,8040.78
27/07/2018,8088.71
03/08/2018,8154.49
10/08/2018,8185.49
17/08/2018,8271.66
24/08/2018,8274.54
31/08/2018,8304.71
07/09/2018,8162.69
14/09/2018,8382.72
21/09/2018,8412.72
28/09/2018,8554.15
05/10/2018,8393.9
12/10/2018,8600.27
19/10/2018,8412.36
26/10/2018,8563.37
02/11/2018,8657.22
09/11/2018,8574.88
16/11/2018,8522.78
23/11/2018,8665.36
30/11/2018,8684.75
07/12/2018,8574.48
14/12/2018,6961.86
21/12/2018,7415.91
28/12/2018,7665.19
04/01/2019,7240.73
11/01/2019,7201.43
18/01/2019,7053.67
25/01/2019,7030.47
01/02/2019,7556.53
08/02/2019,7657.08
15/02/2019,7766.87
22/02/2019,7663.49
01/03/2019,7844.33
08/03/2019,7861.83
15/03/2019,8031.5
22/03/2019,8045.38
29/03/2019,8202.21
05/04/2019,8267.38
12/04/2019,8351.3
19/04/2019,8416.03
26/04/2019,8443.43
03/05/2019,8304.58
10/05/2019,8223.72
17/05/2019,8189.13
24/05/2019,8493.13
31/05/2019,8575.77
07/06/2019,8504.24
14/06/2019,8746.18
21/06/2019,8814.27
28/06/2019,8967.08
05/07/2019,9091.29
12/07/2019,9087.58
19/07/2019,8961.46
26/07/2019,9068.9
02/08/2019,9146.51
09/08/2019,9035.27
16/08/2019,9095
23/08/2019,9235.72
30/08/2019,9245.3
06/09/2019,9231.85
13/09/2019,9441.69
20/09/2019,9603.38
27/09/2019,9441.52
04/10/2019,9528.71
11/10/2019,9539.91
18/10/2019,9677.61
25/10/2019,9607.67
01/11/2019,9689.61
08/11/2019,9692.51
15/11/2019,9718.49
22/11/2019,9886.93
29/11/2019,9977.47
06/12/2019,9880.42
13/12/2019,9885.56
20/12/2019,9948.53
27/12/2019,9921.59
03/01/2020,9952.83
10/01/2020,10087.42
17/01/2020,10219.75
24/01/2020,10027.88
31/01/2020,10025.59
07/02/2020,10099.82
14/02/2020,10097.21
21/02/2020,9121.27
28/02/2020,9445.03
06/03/2020,7882.19
13/03/2020,7347.75
20/03/2020,7528.93
27/03/2020,7525.6
03/04/2020,8349.93
10/04/2020,7935.06
17/04/2020,7917.72
24/04/2020,7978.64
01/05/2020,8381.2
08/05/2020,8174.1
15/05/2020,8592.48
22/05/2020,8701.29
29/05/2020,8848.75
05/06/2020,8731.99
12/06/2020,8707.34
19/06/2020,8603.86
26/06/2020,8668.05
03/07/2020,8443.65
10/07/2020,8511.8
17/07/2020,8551.29
24/07/2020,8377.89
31/07/2020,8572.86
07/08/2020,8733.63
14/08/2020,8725.12
21/08/2020,8850.68
28/08/2020,8993.8
04/09/2020,9301.73
11/09/2020,9115.88
18/09/2020,8961.59
25/09/2020,8879.96
02/10/2020,8841.21
09/10/2020,8874.99
16/10/2020,8795.07
23/10/2020,8510.37
30/10/2020,8808.33
06/11/2020,8910.13
13/11/2020,9069.28
20/11/2020,9286.11
27/11/2020,9550.57
04/12/2020,9521.16
11/12/2020,9660.04
18/12/2020,9685.26
25/12/2020,9805.6
01/01/2021,10144.77
08/01/2021,10210.81
15/01/2021,10335.95
22/01/2021,10306.47
29/01/2021,10614.85
05/02/2021,10492.21
12/02/2021,10345.95
19/02/2021,10201.85
26/02/2021,10499.87
05/03/2021,10742.75
12/03/2021,10874.42
19/03/2021,10961.65
26/03/2021,11302.27
02/04/2021,11242.28
09/04/2021,11147.32
16/04/2021,11212.82
23/04/2021,11342.04
30/04/2021,11591.48
07/05/2021,11593.49
14/05/2021,11679.65
21/05/2021,11421.04
28/05/2021,11517.63
04/06/2021,11520.46
11/06/2021,11608.18
18/06/2021,11875.16
25/06/2021,11830.9
02/07/2021,11870.9
09/07/2021,12026.8
16/07/2021,11908.69
23/07/2021,11848.61
30/07/2021,11828.27
06/08/2021,12136.73
13/08/2021,12085.6
20/08/2021,12389.58
27/08/2021,12313.36
03/09/2021,12402.43
10/09/2021,12315.77
17/09/2021,12440.96
24/09/2021,12633.19
01/10/2021,12817.57
08/10/2021,12711.06
15/10/2021,12812.97
22/10/2021,12605.09
29/10/2021,12874.81
05/11/2021,12833.4
